WMS,Component,RECEIVED_BYTES
Airflow,TOTAL_USAGE,0.1522284103557467
Airflow,BASE_USAGE,2.0827166736125943e-05
Airflow,SERVER_USAGE,0.0343788843601942
Airflow,WORKFLOW_USAGE,0.1178286988288164
Argo,TOTAL_USAGE,0.0137113258242607
Argo,BASE_USAGE,3.759749233722687e-06
Argo,SERVER_USAGE,0.001227200962603
Argo,WORKFLOW_USAGE,0.0124803651124238
Luigi,TOTAL_USAGE,0.0012099975720047
Luigi,BASE_USAGE,7.282942533493042e-06
Luigi,SERVER_USAGE,0.0003780843690037
Luigi,WORKFLOW_USAGE,0.0008246302604675
Metaflow,TOTAL_USAGE,0.015631309710443
Metaflow,BASE_USAGE,2.8703361749649048e-06
Metaflow,SERVER_USAGE,0.0005087116733193
Metaflow,WORKFLOW_USAGE,0.0151197277009487
Snakemake,TOTAL_USAGE,1.8279068171978e-05
Snakemake,BASE_USAGE,4.166737198829651e-06
Snakemake,SERVER_USAGE,0.0
Snakemake,WORKFLOW_USAGE,1.4112330973148346e-05
