WMS,Component,AVERAGE,STD,CV,MIN,MAX
Airflow,SERVER_USAGE,5.24,7.52,143.55,2.23,64.08
,WORKFLOW_USAGE,31.53,21.33,67.65,4.25,100.00
Argo,SERVER_USAGE,25.69,18.03,70.18,8.03,75.60
,WORKFLOW_USAGE,38.72,13.56,35.02,16.75,100.00
Luigi,SERVER_USAGE,4.20,7.27,173.29,1.50,43.48
,WORKFLOW_USAGE,14.04,13.79,98.29,1.75,100.00
Metaflow,SERVER_USAGE,6.82,11.85,173.75,1.50,73.45
,WORKFLOW_USAGE,17.40,15.22,87.45,1.98,100.00
Snakemake,SERVER_USAGE,0.00,0.00,0.00,0.00,0.00
,WORKFLOW_USAGE,12.72,14.09,110.74,0.75,100.00
